Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
1610;4,259997;0,0073;0,7057;0,0183;28,2406;7,5852;4,7743;True;True;0,1924;0,4990;0,3003;2,3343;63,6099;334,7941;-0,4324;0,1355;0,0963;-153,0880;True;False;False;1,0000;1,0000;1,0000;0,9882;0,0000;0,0000;0,0000;0,0000;67b21e2d-1b07-4588-9a0c-60479a3147fc;False;
1620;4,399997;0,0021;0,7063;0,0184;27,9545;5,8480;4,0214;True;True;0,0854;0,5046;0,2837;19,5719;52,4783;337,0026;-0,3666;-0,2606;-0,0110;-161,2029;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;67b21e2d-1b07-4588-9a0c-60479a3147fc;False;
1630;4,539997;-0,0009;0,7061;0,0193;27,8334;5,4288;4,0729;True;True;0,0645;0,4333;0,3056;17,2457;42,0152;356,8878;0,2790;-0,2661;0,0893;-160,2385;True;False;False;1,0000;1,0000;0,9863;0,8827;0,0000;0,0000;0,0000;0,0000;67b21e2d-1b07-4588-9a0c-60479a3147fc;False;
1640;4,679996;-0,0006;0,7041;0,0208;28,4951;6,1837;4,6001;True;True;0,1184;0,4277;0,3118;13,9390;36,3757;353,1362;0,3726;0,0518;-0,0772;-149,7628;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
1645;4,739996;0,0026;0,7039;0,0203;28,6347;7,7420;5,3554;True;True;0,1768;0,4529;0,2883;14,8155;46,2940;351,0984;1,0293;0,5208;-0,3770;-150,0067;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1650;4,819996;0,0063;0,7042;0,0202;28,3852;9,5832;6,0270;True;True;0,2287;0,4791;0,2632;11,7335;59,8552;357,8264;0,4986;0,0212;-0,0953;-154,3678;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1655;4,879996;0,0092;0,7041;0,0201;28,4201;10,4550;6,5346;True;True;0,2879;0,4683;0,2568;6,5655;69,4719;1,7374;1,2788;-0,4267;0,1152;-158,6822;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1660;4,959996;0,0124;0,7037;0,0194;28,6646;11,1110;6,7733;True;True;0,3367;0,4364;0,2606;0,6886;70,9200;7,0112;0,2660;-0,2085;-0,0207;-154,9647;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1665;5,019996;0,0152;0,7040;0,0186;28,5700;11,6152;6,7139;True;True;0,3422;0,4193;0,2546;354,6846;68,7341;11,6952;-0,0782;-0,3858;-0,0555;-152,4250;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1670;5,099996;0,0166;0,7043;0,0188;28,4699;11,4108;6,4260;True;True;0,3374;0,4100;0,2460;8,2908;74,7502;5,8308;-0,0116;-0,0023;-0,0467;-155,7461;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1675;5,159996;0,0168;0,7036;0,0200;28,6893;10,6989;6,0239;True;True;0,3169;0,4292;0,2644;9,3069;73,5460;351,2686;-0,7644;0,6086;0,6726;-156,0632;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;2a49608f-4dc8-426d-b3bd-1638170f70a5;False;
1680;5,239996;0,0159;0,7029;0,0203;29,0190;9,9333;5,5520;True;True;0,2628;0,4891;0,2762;8,3667;66,7887;338,6715;-0,4825;0,5276;-0,0323;-154,7141;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;2a49608f-4dc8-426d-b3bd-1638170f70a5;False;
1685;5,299996;0,0132;0,7034;0,0202;28,8646;8,8562;5,0163;True;True;0,2117;0,5164;0,2842;4,4385;61,9387;332,7021;-1,0464;0,4142;0,1580;-153,8945;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;2a49608f-4dc8-426d-b3bd-1638170f70a5;False;
1695;5,439996;0,0072;0,7045;0,0202;28,3283;6,6353;4,0326;True;True;0,1065;0,5049;0,2885;13,0477;50,6179;331,0091;-1,0942;-0,5734;-0,2440;-156,7190;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;2a49608f-4dc8-426d-b3bd-1638170f70a5;False;
1705;5,579996;0,0043;0,7040;0,0217;28,3957;5,8748;3,7531;True;True;0,0540;0,4543;0,2855;15,0369;36,9684;345,7879;0,0661;-0,4004;0,0718;-157,7203;True;False;False;1,0000;1,0000;1,0000;0,9655;0,0000;0,0000;0,0000;0,0000;2a49608f-4dc8-426d-b3bd-1638170f70a5;False;
1715;5,719995;0,0057;0,7018;0,0236;29,0853;7,2821;4,4282;True;True;0,1038;0,4367;0,3002;16,0944;34,4982;9,1723;0,5042;-0,1064;-0,0245;-154,2897;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
1725;5,859995;0,0106;0,7016;0,0229;29,1849;9,3442;5,4005;True;True;0,2239;0,4556;0,2981;10,6948;46,5908;352,9916;0,7762;0,0667;-0,0417;-149,2698;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1735;5,999995;0,0168;0,7016;0,0220;29,1452;10,8237;5,8743;True;True;0,3073;0,4472;0,2776;4,2593;70,0030;357,5404;0,2946;-0,4588;0,3059;-162,5847;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
